"Timestamp","Name (Optional)","Age","Gender","What devices do you have?","How frequently do you use this devices in studying?","What search engine do you use in making your activities or assignments?","How important is Internet Connection to you?","Do you have an academic award last school year?"
"2021/09/14 11:02:50 AM GMT+8","","14-17","Male","Smartphone;Laptop","Always","Google Chrome","Very Important","No"
"2021/09/14 11:03:02 AM GMT+8","","18 and above","Female","Smartphone;Laptop;Computer","Very Frequently","Google Chrome","Important","Yes"
"2021/09/14 11:03:13 AM GMT+8","","14-17","Female","Smartphone","Always","Google Chrome","Very Important","Yes"
"2021/09/14 11:03:30 AM GMT+8","","14-17","Female","Smartphone;Laptop","Very Frequently","Google Chrome","Very Important","Yes"
"2021/09/14 11:03:43 AM GMT+8","","18 and above","Male","Smartphone;Laptop;Computer","Occationally","Google Chrome","Moderately Important","No"
"2021/09/14 11:03:55 AM GMT+8","","18 and above","Male","Smartphone;Laptop;Computer","Always","Google Chrome","Very Important","Yes"
"2021/09/14 3:59:35 PM GMT+8","","18 and above","Female","Smartphone;Laptop;Tablet","Always","Google Chrome","Important","Yes"
"2021/09/14 3:59:53 PM GMT+8","","14-17","Male","Smartphone;Computer","Rarely","Google Chrome","Moderately Important","No"
"2021/09/14 4:00:11 PM GMT+8","","18 and above","Male","Smartphone;Laptop","Always","Google Chrome","Important","Yes"
"2021/09/14 4:00:28 PM GMT+8","","18 and above","Female","Smartphone;Computer","Occationally","Google Chrome","Important","No"
"2021/09/14 11:02:30 PM GMT+8","","18 and above","Female","Smartphone;Laptop","Always","Google Chrome","Very Important","Yes"
"2021/09/14 11:02:42 PM GMT+8","","18 and above","Male","Smartphone;Laptop;Computer","Always","Google Chrome","Important","Yes"
"2021/09/14 11:02:53 PM GMT+8","","18 and above","Female","Smartphone;Computer","Occationally","Google Chrome","Moderately Important","No"
"2021/09/14 11:03:05 PM GMT+8","","18 and above","Male","Smartphone","Occationally","Google Chrome","Moderately Important","No"
